Name,Set Name,Number,Type,HP,Stage,Rarity,1st Edition,Shadowless,Unlimited,Rev Holo,Additional
Multi Energy,Power Keepers,89,Energy,,Special Energy,Rare,-,-,,,
Cyclone Energy,Power Keepers,90,Energy,,Special Energy,Uncommon,-,-,,,
Warp Energy,Power Keepers,91,Energy,,Special Energy,Uncommon,-,-,,,
Absol ex,Power Keepers,92,Darkness,100,Basic,EX Rare,-,-,,-,
Claydol ex,Power Keepers,93,Psychic,120,Stage 1,EX Rare,-,-,,-,
Flygon ex,Power Keepers,94,Colorless,150,Stage 2,EX Rare,-,-,,-,
Metagross ex,Power Keepers,95,Metal,150,Stage 2,EX Rare,-,-,,-,
Salamence ex,Power Keepers,96,Colorless,160,Stage 2,EX Rare,-,-,,-,
Shiftry ex,Power Keepers,97,Darkness,140,Stage 2,EX Rare,-,-,,-,
Skarmory ex,Power Keepers,98,Metal,100,Basic,EX Rare,-,-,,-,
Walrein ex,Power Keepers,99,Water,150,Stage 2,EX Rare,-,-,,-,
Flareon ☆,Power Keepers,100,Fire,70,Basic,Star Rare,-,-,,-,
Jolteon ☆,Power Keepers,101,Lightning,70,Basic,Star Rare,-,-,,-,
Vaporeon ☆,Power Keepers,102,Water,70,Basic,Star Rare,-,-,,-,
Grass Energy,Power Keepers,103,Energy,,Energy,Holo Rare,-,-,,-,
Fire Energy,Power Keepers,104,Energy,,Energy,Holo Rare,-,-,,-,
Water Energy,Power Keepers,105,Energy,,Energy,Holo Rare,-,-,,-,
Lightning Energy,Power Keepers,106,Energy,,Energy,Holo Rare,-,-,,-,
Psychic Energy,Power Keepers,107,Energy,,Energy,Holo Rare,-,-,,-,
Fighting Energy,Power Keepers,108,Energy,,Energy,Holo Rare,-,-,,-,
Dialga,Diamond & Pearl,1,Metal,90,Basic,Holo Rare,-,-,,,
Dusknoir,Diamond & Pearl,2,Psychic,120,Stage 2,Holo Rare,-,-,,,
Electivire,Diamond & Pearl,3,Lightning,100,Stage 1,Holo Rare,-,-,,,
Empoleon,Diamond & Pearl,4,Water,130,Stage 2,Holo Rare,-,-,,,
Infernape,Diamond & Pearl,5,Fire,100,Stage 2,Holo Rare,-,-,,,
Lucario,Diamond & Pearl,6,Fighting,90,Stage 1,Holo Rare,-,-,,,
Luxray,Diamond & Pearl,7,Lightning,120,Stage 2,Holo Rare,-,-,,,
Magnezone,Diamond & Pearl,8,Metal,120,Stage 2,Holo Rare,-,-,,,
Manaphy,Diamond & Pearl,9,Water,70,Basic,Holo Rare,-,-,,,
Mismagius,Diamond & Pearl,10,Psychic,90,Stage 1,Holo Rare,-,-,,,
Palkia,Diamond & Pearl,11,Water,90,Basic,Holo Rare,-,-,,,
Rhyperior,Diamond & Pearl,12,Fighting,140,Stage 2,Holo Rare,-,-,,,
Roserade,Diamond & Pearl,13,Grass,90,Stage 1,Holo Rare,-,-,,,
Shiftry,Diamond & Pearl,14,Darkness,120,Stage 2,Holo Rare,-,-,,,
Skuntank,Diamond & Pearl,15,Darkness,90,Stage 1,Holo Rare,-,-,,,
Staraptor,Diamond & Pearl,16,Colorless,100,Stage 2,Holo Rare,-,-,,,
Torterra,Diamond & Pearl,17,Grass,140,Stage 2,Holo Rare,-,-,,,
Azumarill,Diamond & Pearl,18,Water,80,Stage 1,Rare,-,-,,,
Beautifly,Diamond & Pearl,19,Grass,100,Stage 2,Rare,-,-,,,
Bibarel,Diamond & Pearl,20,Colorless,100,Stage 1,Rare,-,-,,,
Carnivine,Diamond & Pearl,21,Grass,70,Basic,Rare,-,-,,,
Clefable,Diamond & Pearl,22,Colorless,90,Stage 1,Rare,-,-,,,
Drapion,Diamond & Pearl,23,Psychic,100,Stage 1,Rare,-,-,,,
Drifblim,Diamond & Pearl,24,Psychic,80,Stage 1,Rare,-,-,,,
Dustox,Diamond & Pearl,25,Grass,120,Stage 2,Rare,-,-,,,
Floatzel,Diamond & Pearl,26,Water,90,Stage 1,Rare,-,-,,,
Gengar,Diamond & Pearl,27,Psychic,110,Stage 2,Rare,-,-,,,
Heracross,Diamond & Pearl,28,Grass,80,Basic,Rare,-,-,,,
Hippowdon,Diamond & Pearl,29,Fighting,110,Stage 1,Rare,-,-,,,
Lopunny,Diamond & Pearl,30,Colorless,80,Stage 1,Rare,-,-,,,
Machamp,Diamond & Pearl,31,Fighting,130,Stage 2,Rare,-,-,,,
Medicham,Diamond & Pearl,32,Fighting,90,Stage 1,Rare,-,-,,,
Munchlax,Diamond & Pearl,33,Colorless,60,Basic,Rare,-,-,,,
Noctowl,Diamond & Pearl,34,Colorless,90,Stage 1,Rare,-,-,,,
Pachirisu,Diamond & Pearl,35,Lightning,70,Basic,Rare,-,-,,,
Purugly,Diamond & Pearl,36,Colorless,90,Stage 1,Rare,-,-,,,
Snorlax,Diamond & Pearl,37,Colorless,100,Basic,Rare,-,-,,,
Steelix,Diamond & Pearl,38,Metal,110,Stage 1,Rare,-,-,,,
Vespiquen,Diamond & Pearl,39,Grass,100,Stage 1,Rare,-,-,,,
Weavile,Diamond & Pearl,40,Darkness,80,Stage 1,Rare,-,-,,,
Wobbuffet,Diamond & Pearl,41,Psychic,80,Basic,Rare,-,-,,,
Wynaut,Diamond & Pearl,42,Psychic,40,Basic,Rare,-,-,,,
Budew,Diamond & Pearl,43,Grass,40,Basic,Uncommon,-,-,,,
Cascoon,Diamond & Pearl,44,Grass,80,Stage 1,Uncommon,-,-,,,
Cherrim,Diamond & Pearl,45,Grass,80,Stage 1,Uncommon,-,-,,,
Drifloon,Diamond & Pearl,46,Psychic,60,Basic,Uncommon,-,-,,,
Dusclops,Diamond & Pearl,47,Psychic,80,Stage 1,Uncommon,-,-,,,
Elekid,Diamond & Pearl,48,Lightning,40,Basic,Uncommon,-,-,,,
Grotle,Diamond & Pearl,49,Grass,90,Stage 1,Uncommon,-,-,,,
Haunter,Diamond & Pearl,50,Psychic,70,Stage 1,Uncommon,-,-,,,
Hippopotas,Diamond & Pearl,51,Fighting,60,Basic,Uncommon,-,-,,,
Luxio,Diamond & Pearl,52,Lightning,80,Stage 1,Uncommon,-,-,,,
Machoke,Diamond & Pearl,53,Fighting,80,Stage 1,Uncommon,-,-,,,
Magneton,Diamond & Pearl,54,Metal,70,Stage 1,Uncommon,-,-,,,
Mantyke,Diamond & Pearl,55,Water,40,Basic,Uncommon,-,-,,,
Monferno,Diamond & Pearl,56,Fire,70,Stage 1,Uncommon,-,-,,,
Nuzleaf,Diamond & Pearl,57,Darkness,80,Stage 1,Uncommon,-,-,,,
Prinplup,Diamond & Pearl,58,Water,80,Stage 1,Uncommon,-,-,,,
Rapidash,Diamond & Pearl,59,Fire,80,Stage 1,Uncommon,-,-,,,
Rhydon,Diamond & Pearl,60,Fighting,90,Stage 1,Uncommon,-,-,,,
Riolu,Diamond & Pearl,61,Fighting,60,Basic,Uncommon,-,-,,,
Seaking,Diamond & Pearl,62,Water,80,Stage 1,Uncommon,-,-,,,
Silcoon,Diamond & Pearl,63,Grass,80,Stage 1,Uncommon,-,-,,,
Staravia,Diamond & Pearl,64,Colorless,70,Stage 1,Uncommon,-,-,,,
Unown [A],Diamond & Pearl,65,Psychic,50,Basic,Uncommon,-,-,,,
Unown [B],Diamond & Pearl,66,Psychic,50,Basic,Uncommon,-,-,,,
Unown [C],Diamond & Pearl,67,Psychic,50,Basic,Uncommon,-,-,,,
Unown [D],Diamond & Pearl,68,Psychic,50,Basic,Uncommon,-,-,,,
Azurill,Diamond & Pearl,69,Colorless,40,Basic,Common,-,-,,,
Bidoof,Diamond & Pearl,70,Colorless,50,Basic,Common,-,-,,,
Bonsly,Diamond & Pearl,71,Fighting,40,Basic,Common,-,-,,,
Buizel,Diamond & Pearl,72,Water,60,Basic,Common,-,-,,,
Buneary,Diamond & Pearl,73,Colorless,50,Basic,Common,-,-,,,
Chatot,Diamond & Pearl,74,Colorless,60,Basic,Common,-,-,,,
Cherubi,Diamond & Pearl,75,Grass,50,Basic,Common,-,-,,,
Chimchar,Diamond & Pearl,76,Fire,50,Basic,Common,-,-,,,
Clefairy,Diamond & Pearl,77,Colorless,60,Basic,Common,-,-,,,
Cleffa,Diamond & Pearl,78,Colorless,40,Basic,Common,-,-,,,
Combee,Diamond & Pearl,79,Grass,50,Basic,Common,-,-,,,
Duskull,Diamond & Pearl,80,Psychic,50,Basic,Common,-,-,,,
Electabuzz,Diamond & Pearl,81,Lightning,70,Basic,Common,-,-,,,
Gastly,Diamond & Pearl,82,Psychic,50,Basic,Common,-,-,,,
Glameow,Diamond & Pearl,83,Colorless,50,Basic,Common,-,-,,,
Goldeen,Diamond & Pearl,84,Water,60,Basic,Common,-,-,,,
Hoothoot,Diamond & Pearl,85,Colorless,50,Basic,Common,-,-,,,
Machop,Diamond & Pearl,86,Fighting,60,Basic,Common,-,-,,,
Magnemite,Diamond & Pearl,87,Metal,50,Basic,Common,-,-,,,
Marill,Diamond & Pearl,88,Water,60,Basic,Common,-,-,,,
Meditite,Diamond & Pearl,89,Fighting,50,Basic,Common,-,-,,,
Mime Jr.,Diamond & Pearl,90,Psychic,40,Basic,Common,-,-,,,
Misdreavus,Diamond & Pearl,91,Psychic,60,Basic,Common,-,-,,,
Onix,Diamond & Pearl,92,Fighting,90,Basic,Common,-,-,,,
Piplup,Diamond & Pearl,93,Water,60,Basic,Common,-,-,,,
Ponyta,Diamond & Pearl,94,Fire,60,Basic,Common,-,-,,,
Rhyhorn,Diamond & Pearl,95,Fighting,60,Basic,Common,-,-,,,
Roselia,Diamond & Pearl,96,Grass,70,Basic,Common,-,-,,,
Seedot,Diamond & Pearl,97,Grass,50,Basic,Common,-,-,,,
Shinx,Diamond & Pearl,98,Lightning,60,Basic,Common,-,-,,,
Skorupi,Diamond & Pearl,99,Psychic,60,Basic,Common,-,-,,,
Sneasel,Diamond & Pearl,100,Darkness,60,Basic,Common,-,-,,,
Starly,Diamond & Pearl,101,Colorless,50,Basic,Common,-,-,,,
Stunky,Diamond & Pearl,102,Darkness,60,Basic,Common,-,-,,,
Turtwig,Diamond & Pearl,103,Grass,60,Basic,Common,-,-,,,
Wurmple,Diamond & Pearl,104,Grass,50,Basic,Common,-,-,,,
Double Full Heal,Diamond & Pearl,105,Trainer,,Trainer,Uncommon,-,-,,,
Energy Restore,Diamond & Pearl,106,Trainer,,Trainer,Uncommon,-,-,,,
Energy Switch,Diamond & Pearl,107,Trainer,,Trainer,Uncommon,-,-,,,
Night Pokémon Center,Diamond & Pearl,108,Trainer,,Trainer,Uncommon,-,-,,,
PlusPower,Diamond & Pearl,109,Trainer,,Trainer,Uncommon,-,-,,,
Poké Ball,Diamond & Pearl,110,Trainer,,Trainer,Uncommon,-,-,,,
Pokédex HANDY910is,Diamond & Pearl,111,Trainer,,Trainer,Uncommon,-,-,,,
Professor Rowan,Diamond & Pearl,112,Trainer,,Supporter,Uncommon,-,-,,,
Rival,Diamond & Pearl,113,Trainer,,Supporter,Uncommon,-,-,,,
Speed Stadium,Diamond & Pearl,114,Trainer,,Stadium,Uncommon,-,-,,,
Super Scoop Up,Diamond & Pearl,115,Trainer,,Trainer,Uncommon,-,-,,,
Warp Point,Diamond & Pearl,116,Trainer,,Trainer,Uncommon,-,-,,,
Energy Search,Diamond & Pearl,117,Trainer,,Trainer,Common,-,-,,,
Potion,Diamond & Pearl,118,Trainer,,Trainer,Common,-,-,,,
Switch,Diamond & Pearl,119,Trainer,,Trainer,Common,-,-,,,
Empoleon Lv.X,Diamond & Pearl,120,Water,140,Level Up,Level X,-,-,,-,
Infernape Lv.X,Diamond & Pearl,121,Fire,120,Level Up,Level X,-,-,,-,
Torterra Lv.X,Diamond & Pearl,122,Grass,160,Level Up,Level X,-,-,,-,
Grass Energy,Diamond & Pearl,123,Energy,,Energy,Common,-,-,,-,
Fire Energy,Diamond & Pearl,124,Energy,,Energy,Common,-,-,,-,
Water Energy,Diamond & Pearl,125,Energy,,Energy,Common,-,-,,-,
Lightning Energy,Diamond & Pearl,126,Energy,,Energy,Common,-,-,,-,
Psychic Energy,Diamond & Pearl,127,Energy,,Energy,Common,-,-,,-,
Fighting Energy,Diamond & Pearl,128,Energy,,Energy,Common,-,-,,-,
Darkness Energy,Diamond & Pearl,129,Energy,,Energy,Common,-,-,,-,
Metal Energy,Diamond & Pearl,130,Energy,,Energy,Common,-,-,,-,
Aggron,Mysterious Treasures,1,Metal,130,Stage 2,Holo Rare,-,-,,,
Alakazam,Mysterious Treasures,2,Psychic,100,Stage 2,Holo Rare,-,-,,,
Ambipom,Mysterious Treasures,3,Colorless,80,Stage 1,Holo Rare,-,-,,,
Azelf,Mysterious Treasures,4,Psychic,60,Basic,Holo Rare,-,-,,,
Blissey,Mysterious Treasures,5,Colorless,130,Stage 1,Holo Rare,-,-,,,
Bronzong,Mysterious Treasures,6,Metal,90,Stage 1,Holo Rare,-,-,,,
Celebi,Mysterious Treasures,7,Grass,60,Basic,Holo Rare,-,-,,,
Feraligatr,Mysterious Treasures,8,Water,130,Stage 2,Holo Rare,-,-,,,
Garchomp,Mysterious Treasures,9,Colorless,130,Stage 2,Holo Rare,-,-,,,
Honchkrow,Mysterious Treasures,10,Darkness,90,Stage 1,Holo Rare,-,-,,,
Lumineon,Mysterious Treasures,11,Water,80,Stage 1,Holo Rare,-,-,,,
Magmortar,Mysterious Treasures,12,Fire,100,Stage 1,Holo Rare,-,-,,,
Meganium,Mysterious Treasures,13,Grass,130,Stage 2,Holo Rare,-,-,,,
Mesprit,Mysterious Treasures,14,Psychic,60,Basic,Holo Rare,-,-,,,
Raichu,Mysterious Treasures,15,Lightning,90,Stage 1,Holo Rare,-,-,,,
Typhlosion,Mysterious Treasures,16,Fire,110,Stage 2,Holo Rare,-,-,,,
Tyranitar,Mysterious Treasures,17,Darkness,140,Stage 2,Holo Rare,-,-,,,
Uxie,Mysterious Treasures,18,Psychic,60,Basic,Holo Rare,-,-,,,
Abomasnow,Mysterious Treasures,19,Grass,100,Stage 1,Rare,-,-,,,
Ariados,Mysterious Treasures,20,Grass,80,Stage 1,Rare,-,-,,,
Bastiodon,Mysterious Treasures,21,Metal,130,Stage 2,Rare,-,-,,,
Chimecho,Mysterious Treasures,22,Psychic,70,Basic,Rare,-,-,,,
Crobat,Mysterious Treasures,23,Psychic,100,Stage 2,Rare,-,-,,,
Exeggutor,Mysterious Treasures,24,Grass,90,Stage 1,Rare,-,-,,,
Glalie,Mysterious Treasures,25,Water,90,Stage 1,Rare,-,-,,,
Gyarados,Mysterious Treasures,26,Water,120,Stage 1,Rare,-,-,,,
Kricketune,Mysterious Treasures,27,Grass,80,Stage 1,Rare,-,-,,,
Manectric,Mysterious Treasures,28,Lightning,80,Stage 1,Rare,-,-,,,
Mantine,Mysterious Treasures,29,Water,80,Basic,Rare,-,-,,,
Mr. Mime,Mysterious Treasures,30,Psychic,70,Basic,Rare,-,-,,,
Nidoqueen,Mysterious Treasures,31,Psychic,120,Stage 2,Rare,-,-,,,
Ninetales,Mysterious Treasures,32,Fire,80,Stage 1,Rare,-,-,,,
Rampardos,Mysterious Treasures,33,Fighting,120,Stage 2,Rare,-,-,,,
Slaking,Mysterious Treasures,34,Colorless,140,Stage 2,Rare,-,-,,,
Sudowoodo,Mysterious Treasures,35,Fighting,80,Basic,Rare,-,-,,,
Toxicroak,Mysterious Treasures,36,Psychic,90,Stage 1,Rare,-,-,,,
Unown [I],Mysterious Treasures,37,Psychic,50,Basic,Rare,-,-,,,
Ursaring,Mysterious Treasures,38,Colorless,100,Stage 1,Rare,-,-,,,
Walrein,Mysterious Treasures,39,Water,130,Stage 2,Rare,-,-,,,
Whiscash,Mysterious Treasures,40,Water,90,Stage 1,Rare,-,-,,,
Bayleef,Mysterious Treasures,41,Grass,80,Stage 1,Uncommon,-,-,,,
Chingling,Mysterious Treasures,42,Psychic,40,Basic,Uncommon,-,-,,,
Cranidos,Mysterious Treasures,43,Fighting,70,Stage 1,Uncommon,-,-,,,
Croconaw,Mysterious Treasures,44,Water,80,Stage 1,Uncommon,-,-,,,
Dewgong,Mysterious Treasures,45,Water,90,Stage 1,Uncommon,-,-,,,
Dodrio,Mysterious Treasures,46,Colorless,80,Stage 1,Uncommon,-,-,,,
Dunsparce,Mysterious Treasures,47,Colorless,60,Basic,Uncommon,-,-,,,
Gabite,Mysterious Treasures,48,Colorless,80,Stage 1,Uncommon,-,-,,,
Girafarig,Mysterious Treasures,49,Colorless,70,Basic,Uncommon,-,-,,,
Golbat,Mysterious Treasures,50,Psychic,70,Stage 1,Uncommon,-,-,,,
Graveler,Mysterious Treasures,51,Fighting,90,Stage 1,Uncommon,-,-,,,
Happiny,Mysterious Treasures,52,Colorless,60,Basic,Uncommon,-,-,,,
Lairon,Mysterious Treasures,53,Metal,80,Stage 1,Uncommon,-,-,,,
Magmar,Mysterious Treasures,54,Fire,70,Basic,Uncommon,-,-,,,
Masquerain,Mysterious Treasures,55,Grass,70,Stage 1,Uncommon,-,-,,,
Nidorina,Mysterious Treasures,56,Psychic,80,Stage 1,Uncommon,-,-,,,
Octillery,Mysterious Treasures,57,Water,80,Stage 1,Uncommon,-,-,,,
Parasect,Mysterious Treasures,58,Grass,90,Stage 1,Uncommon,-,-,,,
Pupitar,Mysterious Treasures,59,Fighting,70,Stage 1,Uncommon,-,-,,,
Quilava,Mysterious Treasures,60,Fire,80,Stage 1,Uncommon,-,-,,,
Sandslash,Mysterious Treasures,61,Fighting,90,Stage 1,Uncommon,-,-,,,
Sealeo,Mysterious Treasures,62,Water,80,Stage 1,Uncommon,-,-,,,
Shieldon,Mysterious Treasures,63,Metal,80,Stage 1,Uncommon,-,-,,,
Tropius,Mysterious Treasures,64,Grass,80,Basic,Uncommon,-,-,,,
Unown [E],Mysterious Treasures,65,Psychic,50,Basic,Uncommon,-,-,,,
Unown [M],Mysterious Treasures,66,Psychic,50,Basic,Uncommon,-,-,,,
Unown [T],Mysterious Treasures,67,Psychic,50,Basic,Uncommon,-,-,,,
Vigoroth,Mysterious Treasures,68,Colorless,80,Stage 1,Uncommon,-,-,,,
Abra,Mysterious Treasures,69,Psychic,50,Basic,Common,-,-,,,
Aipom,Mysterious Treasures,70,Colorless,60,Basic,Common,-,-,,,
Aron,Mysterious Treasures,71,Metal,50,Basic,Common,-,-,,,
Barboach,Mysterious Treasures,72,Water,50,Basic,Common,-,-,,,
Bidoof,Mysterious Treasures,73,Colorless,60,Basic,Common,-,-,,,
Bronzor,Mysterious Treasures,74,Metal,50,Basic,Common,-,-,,,
Buizel,Mysterious Treasures,75,Water,60,Basic,Common,-,-,,,
Chansey,Mysterious Treasures,76,Colorless,100,Basic,Common,-,-,,,
Chikorita,Mysterious Treasures,77,Grass,50,Basic,Common,-,-,,,
Croagunk,Mysterious Treasures,78,Psychic,60,Basic,Common,-,-,,,
Cyndaquil,Mysterious Treasures,79,Fire,60,Basic,Common,-,-,,,
Doduo,Mysterious Treasures,80,Colorless,60,Basic,Common,-,-,,,
Electrike,Mysterious Treasures,81,Lightning,60,Basic,Common,-,-,,,
Exeggcute,Mysterious Treasures,82,Grass,60,Basic,Common,-,-,,,
Finneon,Mysterious Treasures,83,Water,50,Basic,Common,-,-,,,
Geodude,Mysterious Treasures,84,Fighting,60,Basic,Common,-,-,,,
Gible,Mysterious Treasures,85,Colorless,50,Basic,Common,-,-,,,
Kricketot,Mysterious Treasures,86,Grass,60,Basic,Common,-,-,,,
Larvitar,Mysterious Treasures,87,Fighting,50,Basic,Common,-,-,,,
Magby,Mysterious Treasures,88,Fire,40,Basic,Common,-,-,,,
Magikarp,Mysterious Treasures,89,Water,30,Basic,Common,-,-,,,
Murkrow,Mysterious Treasures,90,Darkness,60,Basic,Common,-,-,,,
Nidoran F,Mysterious Treasures,91,Psychic,60,Basic,Common,-,-,,,
Paras,Mysterious Treasures,92,Grass,60,Basic,Common,-,-,,,
Pichu,Mysterious Treasures,93,Lightning,40,Basic,Common,-,-,,,
Pikachu,Mysterious Treasures,94,Lightning,60,Basic,Common,-,-,,,
Remoraid,Mysterious Treasures,95,Water,60,Basic,Common,-,-,,,
Sandshrew,Mysterious Treasures,96,Fighting,60,Basic,Common,-,-,,,
Seel,Mysterious Treasures,97,Water,60,Basic,Common,-,-,,,
Shinx,Mysterious Treasures,98,Lightning,60,Basic,Common,-,-,,,
Slakoth,Mysterious Treasures,99,Colorless,50,Basic,Common,-,-,,,
Snorunt,Mysterious Treasures,100,Water,50,Basic,Common,-,-,,,
Snover,Mysterious Treasures,101,Grass,60,Basic,Common,-,-,,,
Spheal,Mysterious Treasures,102,Water,50,Basic,Common,-,-,,,
Spinarak,Mysterious Treasures,103,Grass,50,Basic,Common,-,-,,,
Surskit,Mysterious Treasures,104,Grass,50,Basic,Common,-,-,,,
Teddiursa,Mysterious Treasures,105,Colorless,60,Basic,Common,-,-,,,
Totodile,Mysterious Treasures,106,Water,50,Basic,Common,-,-,,,
Vulpix,Mysterious Treasures,107,Fire,60,Basic,Common,-,-,,,
Zubat,Mysterious Treasures,108,Psychic,50,Basic,Common,-,-,,,
Bebe's Search,Mysterious Treasures,109,Trainer,,Supporter,Uncommon,-,-,,,
Dusk Ball,Mysterious Treasures,110,Trainer,,Trainer,Uncommon,-,-,,,
Fossil Excavator,Mysterious Treasures,111,Trainer,,Supporter,Uncommon,-,-,,,
Lake Boundary,Mysterious Treasures,112,Trainer,,Stadium,Uncommon,-,-,,,
Night Maintenance,Mysterious Treasures,113,Trainer,,Trainer,Uncommon,-,-,,,
Quick Ball,Mysterious Treasures,114,Trainer,,Trainer,Uncommon,-,-,,,
Team Galactic's Wager,Mysterious Treasures,115,Trainer,,Supporter,Uncommon,-,-,,,
Armor Fossil,Mysterious Treasures,116,Trainer,50,Trainer,Common,-,-,,,
Skull Fossil,Mysterious Treasures,117,Trainer,50,Trainer,Common,-,-,,,
Multi Energy,Mysterious Treasures,118,Energy,,Special Energy,Rare,-,-,,,
Darkness Energy,Mysterious Treasures,119,Energy,,Special Energy,Uncommon,-,-,,,
Metal Energy,Mysterious Treasures,120,Energy,,Special Energy,Uncommon,-,-,,,
Electivire Lv.X,Mysterious Treasures,121,Lightning,120,Level Up,Level X,-,-,,-,
Lucario Lv.X,Mysterious Treasures,122,Fighting,110,Level Up,Level X,-,-,,-,
Magmortar Lv.X,Mysterious Treasures,123,Fire,130,Level Up,Level X,-,-,,-,
Time-Space Distortion,Mysterious Treasures,124,Trainer,,Trainer,Secret Rare,-,-,,-,
Ampharos,Secret Wonders,1,Lightning,130,Stage 2,Holo Rare,-,-,,,
Blastoise,Secret Wonders,2,Water,120,Stage 2,Holo Rare,-,-,,,
Charizard,Secret Wonders,3,Fire,130,Stage 2,Holo Rare,-,-,,,
Entei,Secret Wonders,4,Fire,80,Basic,Holo Rare,-,-,,,
Flygon,Secret Wonders,5,Fighting,120,Stage 2,Holo Rare,-,-,,,
Gallade,Secret Wonders,6,Fighting,130,Stage 2,Holo Rare,-,-,,,
Gardevoir,Secret Wonders,7,Psychic,110,Stage 2,Holo Rare,-,-,,,
Gastrodon East Sea,Secret Wonders,8,Water,100,Stage 1,Holo Rare,-,-,,,
Gastrodon West Sea,Secret Wonders,9,Fighting,100,Stage 1,Holo Rare,-,-,,,
Ho-Oh,Secret Wonders,10,Fire,90,Basic,Holo Rare,-,-,,,
Jumpluff,Secret Wonders,11,Grass,90,Stage 2,Holo Rare,-,-,,,
Lickilicky,Secret Wonders,12,Colorless,110,Stage 1,Holo Rare,-,-,,,
Ludicolo,Secret Wonders,13,Water,100,Stage 2,Holo Rare,-,-,,,
Lugia,Secret Wonders,14,Colorless,90,Basic,Holo Rare,-,-,,,
Mew,Secret Wonders,15,Psychic,60,Basic,Holo Rare,-,-,,,
Raikou,Secret Wonders,16,Lightning,80,Basic,Holo Rare,-,-,,,
Roserade,Secret Wonders,17,Grass,90,Stage 1,Holo Rare,-,-,,,
Salamence,Secret Wonders,18,Colorless,140,Stage 2,Holo Rare,-,-,,,
Suicune,Secret Wonders,19,Water,70,Basic,Holo Rare,-,-,,,
Venusaur,Secret Wonders,20,Grass,130,Stage 2,Holo Rare,-,-,,,
Absol,Secret Wonders,21,Darkness,70,Basic,Rare,-,-,,,
Arcanine,Secret Wonders,22,Fire,100,Stage 1,Rare,-,-,,,
Banette,Secret Wonders,23,Psychic,80,Stage 1,Rare,-,-,,,
Dugtrio,Secret Wonders,24,Fighting,90,Stage 1,Rare,-,-,,,
Electivire,Secret Wonders,25,Lightning,100,Stage 1,Rare,-,-,,,
Electrode,Secret Wonders,26,Lightning,80,Stage 1,Rare,-,-,,,
Furret,Secret Wonders,27,Colorless,90,Stage 1,Rare,-,-,,,
Golduck,Secret Wonders,28,Water,90,Stage 1,Rare,-,-,,,
Golem,Secret Wonders,29,Fighting,130,Stage 2,Rare,-,-,,,
Jynx,Secret Wonders,30,Psychic,70,Basic,Rare,-,-,,,
Magmortar,Secret Wonders,31,Fire,110,Stage 1,Rare,-,-,,,
Minun,Secret Wonders,32,Lightning,60,Basic,Rare,-,-,,,
Mothim,Secret Wonders,33,Grass,80,Stage 1,Rare,-,-,,,
Nidoking,Secret Wonders,34,Psychic,130,Stage 2,Rare,-,-,,,
Pidgeot,Secret Wonders,35,Colorless,120,Stage 2,Rare,-,-,,,
Plusle,Secret Wonders,36,Lightning,60,Basic,Rare,-,-,,,
Sharpedo,Secret Wonders,37,Darkness,80,Stage 1,Rare,-,-,,,
Sunflora,Secret Wonders,38,Grass,80,Stage 1,Rare,-,-,,,
Unown [S],Secret Wonders,39,Psychic,50,Basic,Rare,-,-,,,
Weavile,Secret Wonders,40,Water,80,Stage 1,Rare,-,-,,,
Wormadam Plant Cloak,Secret Wonders,41,Grass,80,Stage 1,Rare,-,-,,,
Wormadam Sandy Cloak,Secret Wonders,42,Fighting,80,Stage 1,Rare,-,-,,,
Wormadam Trash Cloak,Secret Wonders,43,Metal,70,Stage 1,Rare,-,-,,,
Xatu,Secret Wonders,44,Psychic,80,Stage 1,Rare,-,-,,,
Breloom,Secret Wonders,45,Grass,100,Stage 1,Uncommon,-,-,,,
Charmeleon,Secret Wonders,46,Fire,80,Stage 1,Uncommon,-,-,,,
Cloyster,Secret Wonders,47,Water,80,Stage 1,Uncommon,-,-,,,
Donphan,Secret Wonders,48,Fighting,100,Stage 1,Uncommon,-,-,,,
Farfetch'd,Secret Wonders,49,Colorless,60,Basic,Uncommon,-,-,,,
Flaaffy,Secret Wonders,50,Lightning,80,Stage 1,Uncommon,-,-,,,
Ivysaur,Secret Wonders,51,Grass,80,Stage 1,Uncommon,-,-,,,
Kecleon,Secret Wonders,52,Colorless,70,Basic,Uncommon,-,-,,,
Kirlia,Secret Wonders,53,Psychic,80,Stage 1,Uncommon,-,-,,,
Lombre,Secret Wonders,54,Water,70,Stage 1,Uncommon,-,-,,,
Miltank,Secret Wonders,55,Colorless,90,Basic,Uncommon,-,-,,,
Muk,Secret Wonders,56,Psychic,80,Stage 1,Uncommon,-,-,,,
Nidorino,Secret Wonders,57,Psychic,80,Stage 1,Uncommon,-,-,,,
Pidgeotto,Secret Wonders,58,Colorless,80,Stage 1,Uncommon,-,-,,,
Pinsir,Secret Wonders,59,Grass,80,Basic,Uncommon,-,-,,,
Quagsire,Secret Wonders,60,Water,90,Stage 1,Uncommon,-,-,,,
Raticate,Secret Wonders,61,Colorless,70,Stage 1,Uncommon,-,-,,,
Roselia,Secret Wonders,62,Grass,70,Basic,Uncommon,-,-,,,
Sableye,Secret Wonders,63,Darkness,60,Basic,Uncommon,-,-,,,
Shelgon,Secret Wonders,64,Colorless,80,Stage 1,Uncommon,-,-,,,
Skiploom,Secret Wonders,65,Grass,60,Stage 1,Uncommon,-,-,,,
Smeargle,Secret Wonders,66,Colorless,70,Basic,Uncommon,-,-,,,
