Name,Set Name,Number,Type,HP,Stage,Rarity,Description,Have,Holo
Squirtle,SV Black Star Promos,48,Water,70,Basic,,Classic Cosmos Holofoil,,-
Squirtle,SV Black Star Promos,48,Water,70,Basic,,HD Cosmos Holofoil,,-
Zapdos ex,SV Black Star Promos,49,Lightning,200,Basic,,,,-
Alakazam ex,SV Black Star Promos,50,Psychic,310,Stage 2,,,,-
Snorlax,SV Black Star Promos,51,Colorless,150,Basic,,,,-
Snorlax,SV Black Star Promos,51,Colorless,150,Basic,,Pokémon Center Stamp,,-
Mewtwo,SV Black Star Promos,52,Psychic,130,Basic,,,,-
Mew ex,SV Black Star Promos,53,Psychic,180,Basic,,,,-
Greninja ex,SV Black Star Promos,54,Water,300,Stage 2,,,,-
Kangaskhan ex,SV Black Star Promos,55,Colorless,230,Basic,,,,-
Charizard ex,SV Black Star Promos,56,Darkness,330,Stage 2,,,,-
Chi-Yu,SV Black Star Promos,57,Fire,110,Basic,,,,-
Chi-Yu,SV Black Star Promos,57,Fire,110,Basic,,Staff Stamp,,-
Iron Bundle,SV Black Star Promos,58,Water,100,Basic,,,,-
Iron Bundle,SV Black Star Promos,58,Water,100,Basic,,Staff Stamp,,-
Xatu,SV Black Star Promos,59,Psychic,100,Stage 1,,,,-
Xatu,SV Black Star Promos,59,Psychic,100,Stage 1,,Staff Stamp,,-
Aegislash,SV Black Star Promos,60,Metal,150,Stage 2,,,,-
Aegislash,SV Black Star Promos,60,Metal,150,Stage 2,,Staff Stamp,,-
Pineco,SV Black Star Promos,61,Grass,70,Basic,,,,-
Sinistea,SV Black Star Promos,62,Psychic,30,Basic,,,,-
Cetitan,SV Black Star Promos,63,Water,170,Stage 1,,,,-
Arctibax,SV Black Star Promos,64,Water,90,Stage 1,,,,-
Scream Tail,SV Black Star Promos,65,Psychic,90,Basic,,,,-
Scream Tail,SV Black Star Promos,65,Psychic,90,Basic,,Pokémon Center Stamp,,-
Iron Bundle,SV Black Star Promos,66,Water,100,Basic,,,,-
Iron Bundle,SV Black Star Promos,66,Water,100,Basic,,Pokémon Center Stamp,,-
Roaring Moon ex,SV Black Star Promos,67,Darkness,230,Basic,,,,-
Iron Valiant ex,SV Black Star Promos,68,Psychic,220,Basic,,,,-
Fidough,SV Black Star Promos,69,Psychic,50,Basic,,,,-
Greavard,SV Black Star Promos,70,Psychic,70,Basic,,,,-
Maschiff,SV Black Star Promos,71,Darkness,60,Basic,,,,-
Great Tusk ex,SV Black Star Promos,72,Fighting,250,Basic,,,,-
Iron Treads ex,SV Black Star Promos,73,Metal,220,Basic,,,,-
Charizard ex,SV Black Star Promos,74,Darkness,330,Stage 2,,,,-
Mimikyu,SV Black Star Promos,75,Psychic,70,Basic,,,,-
Mimikyu,SV Black Star Promos,75,Psychic,70,Basic,,Pokémon Center Stamp,,-
Sprigatito,SV Black Star Promos,76,Grass,60,Basic,,,,-
Floragato,SV Black Star Promos,77,Grass,90,Stage 1,,,,-
Meowscarada ex,SV Black Star Promos,78,Grass,310,Stage 2,,,,-
Fuecoco,SV Black Star Promos,79,Fire,80,Basic,,,,-
Crocalor,SV Black Star Promos,80,Fire,110,Stage 1,,,,-
Skeledirge ex,SV Black Star Promos,81,Fire,340,Stage 2,,,,-
Quaxly,SV Black Star Promos,82,Water,70,Basic,,,,-
Quaxwell,SV Black Star Promos,83,Water,90,Stage 1,,,,-
Quaquaval ex,SV Black Star Promos,84,Water,320,Stage 2,,,,-
Pikachu with Grey Felt Hat,SV Black Star Promos,85,Lightning,60,Basic,,,,-
Mabosstiff ex,SV Black Star Promos,86,Darkness,260,Stage 1,,,,-
Sprigatito ex,SV Black Star Promos,87,Grass,200,Basic,,,,-
Pikachu,SV Black Star Promos,88,Lightning,70,Basic,,,,-
Feraligatr,SV Black Star Promos,89,Water,180,Stage 2,,,,-
Feraligatr,SV Black Star Promos,89,Water,180,Stage 2,,Staff Stamp,,-
Metang,SV Black Star Promos,90,Metal,100,Stage 1,,,,-
Metang,SV Black Star Promos,90,Metal,100,Stage 1,,Staff Stamp,,-
Koraidon,SV Black Star Promos,91,Dragon,140,Basic,,,,-
Koraidon,SV Black Star Promos,91,Dragon,140,Basic,,Staff Stamp,,-
Miraidon,SV Black Star Promos,92,Dragon,110,Basic,,,,-
Miraidon,SV Black Star Promos,92,Dragon,110,Basic,,Staff Stamp,,-
Carvanha,SV Black Star Promos,93,Water,50,Basic,,,,-
Bellibolt,SV Black Star Promos,94,Lightning,130,Stage 1,,,,-
Cleffa,SV Black Star Promos,95,Psychic,30,Basic,,,,-
Cyclizar,SV Black Star Promos,96,Colorless,120,Basic,,,,-
Flutter Mane,SV Black Star Promos,97,Psychic,90,Basic,,,,-
Flutter Mane,SV Black Star Promos,97,Psychic,90,Basic,,Pokémon Center Stamp,,-
Iron Thorns,SV Black Star Promos,98,Lightning,140,Basic,,,,-
Iron Thorns,SV Black Star Promos,98,Lightning,140,Basic,,Pokémon Center Stamp,,-
Shroodle,SV Black Star Promos,99,Colorless,50,Basic,,,,-
Grafaiai ex,SV Black Star Promos,100,Colorless,250,Stage 1,,,,-
Pikachu,SV Black Star Promos,101,Lightning,70,Basic,,Pokémon TCG Asia Championship Series 2023-24 Stamp,,-
Pikachu,SV Black Star Promos,101,Lightning,70,Basic,,Play! Pokémon Stamp,,-
Oddish,SV Black Star Promos,102,Grass,60,Basic,,,,-
Houndoom ex,SV Black Star Promos,103,Darkness,270,Stage 1,,,,-
Melmetal ex,SV Black Star Promos,104,Metal,300,Stage 1,,,,-
Armarouge ex,SV Black Star Promos,105,Fire,260,Stage 1,,,,-
Pikachu ex,SV Black Star Promos,106,Lightning,200,Basic,,,,-
Mareep,SV Black Star Promos,107,Lightning,60,Basic,,,,-
Mareep,SV Black Star Promos,107,Lightning,60,Basic,,,,-
Mareep,SV Black Star Promos,107,Lightning,60,Basic,,,,-
Mareep,SV Black Star Promos,107,Lightning,60,Basic,,,,-
Flaaffy,SV Black Star Promos,108,Lightning,90,Stage 1,,,,-
Flaaffy,SV Black Star Promos,108,Lightning,90,Stage 1,,,,-
Flaaffy,SV Black Star Promos,108,Lightning,90,Stage 1,,,,-
Ampharos,SV Black Star Promos,109,Lightning,160,Stage 2,,,,-
Ampharos,SV Black Star Promos,109,Lightning,160,Stage 2,,,,-
Darkrai ex,SV Black Star Promos,110,Darkness,210,Basic,,,,-
Pawniard,SV Black Star Promos,111,Darkness,70,Basic,,,,-
Bisharp,SV Black Star Promos,112,Darkness,100,Stage 1,,,,-
Kingambit,SV Black Star Promos,113,Darkness,170,Stage 2,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Picnicker,SV Black Star Promos,114,Trainer,,Supporter,,,,-
Thwackey,SV Black Star Promos,115,Grass,100,Stage 1,,,,-
Thwackey,SV Black Star Promos,115,Grass,100,Stage 1,,Staff Stamp,,-
Infernape,SV Black Star Promos,116,Fire,140,Stage 2,,,,-
Infernape,SV Black Star Promos,116,Fire,140,Stage 2,,Staff Stamp,,-
Froslass,SV Black Star Promos,117,Water,90,Stage 1,,,,-
Froslass,SV Black Star Promos,117,Water,90,Stage 1,,Staff Stamp,,-
Tasugiri,SV Black Star Promos,118,Dragon,70,Basic,,,,-
Tasugiri,SV Black Star Promos,118,Dragon,70,Basic,,Staff Stamp,,-
Toxel,SV Black Star Promos,119,Lightning,70,Basic,,,,-
Pupitar,SV Black Star Promos,120,Fighting,80,Stage 1,,,,-
Revavroom,SV Black Star Promos,121,Metal,140,Stage 2,,,,-
Snorlax,SV Black Star Promos,122,Colorless,160,Basic,,,,-
Teal Mask Ogerpon,SV Black Star Promos,123,Grass,110,Basic,,,,-
Teal Mask Ogerpon,SV Black Star Promos,123,Grass,110,Basic,,Pokémon Center Stamp,,-
Iono,SV Black Star Promos,124,Trainer,,Supporter,,,,-
Armarouge ex,SV Black Star Promos,125,Fire,260,Stage 1,,,,-
Palafin ex,SV Black Star Promos,126,Water,340,Stage 1,,,,-
Walking Wake ex,SV Black Star Promos,127,Water,220,Basic,,,,-
Iron Leaves ex,SV Black Star Promos,128,Grass,220,Basic,,,,-
Pecharunt,SV Black Star Promos,129,Darkness,80,Basic,,,,-
Pecharunt,SV Black Star Promos,129,Darkness,80,Basic,,Pokémon Center Stamp,,-
Kingambit,SV Black Star Promos,130,Metal,180,Stage 2,,,,-
Kingdra ex,SV Black Star Promos,131,Water,310,Stage 2,,,,-
Greninja ex,SV Black Star Promos,132,Water,300,Stage 2,,,,-
Ledian,SV Black Star Promos,133,Grass,90,Stage 1,,,,-
Ledian,SV Black Star Promos,133,Grass,90,Stage 1,,Staff Stamp,,-
Crabominable,SV Black Star Promos,134,Water,160,Stage 1,,,,-
Crabominable,SV Black Star Promos,134,Water,160,Stage 1,,Staff Stamp,,-
Drifblim,SV Black Star Promos,135,Psychic,130,Stage 1,,,,-
Drifblim,SV Black Star Promos,135,Psychic,130,Stage 1,,Staff Stamp,,-
Bouffalant,SV Black Star Promos,136,Colorless,100,Basic,,,,-
Bouffalant,SV Black Star Promos,136,Colorless,100,Basic,,Staff Stamp,,-
Horsea,SV Black Star Promos,137,Water,60,Basic,,,,-
Porygon2,SV Black Star Promos,138,Colorless,90,Stage 1,,,,-
Latias,SV Black Star Promos,139,Psychic,110,Basic,,,,-
Tinkaton,SV Black Star Promos,140,Psychic,140,Stage 2,,,,-
Noctowl,SV Black Star Promos,141,Normal,100,Stage 1,,,,-
Noctowl,SV Black Star Promos,141,Normal,100,Stage 1,,Pokémon Center Stamp,,-
Victini ex,SV Black Star Promos,142,Fire,190,Basic,,,,-
Miraidon ex,SV Black Star Promos,143,Lightning,220,Basic,,,,-
Gouging Fire ex,SV Black Star Promos,144,Fire,230,Basic,,,,-
Raging Bolt ex,SV Black Star Promos,145,Dragon,240,Basic,,,,-
Iron Crown ex,SV Black Star Promos,146,Psychic,220,Basic,,,,-
Iron Boulder ex,SV Black Star Promos,147,Fighting,240,Basic,,,,-
Miraidon,SV Black Star Promos,148,Lightning,120,Basic,,,,-
Pecharunt,SV Black Star Promos,149,Darkness,80,Basic,,,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Top Thirty-Two Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Top Sixteen Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Quarter Finalist Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Semi-Finalist Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Finalist Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Champion Stamp,,-
Paradise Resort,SV Black Star Promos,150,Trainer,,Stadium,,Staff Stamp,,-
Gouging Fire,SV Black Star Promos,151,Fire,130,Basic,,,,-
Gouging Fire,SV Black Star Promos,151,Fire,130,Basic,,Staff Stamp,,-
Chien-Pao,SV Black Star Promos,152,Water,120,Basic,,,,-
Chien-Pao,SV Black Star Promos,152,Water,120,Basic,,Staff Stamp,,-
Magneton,SV Black Star Promos,153,Lightning,100,Stage 1,,,,-
Magneton,SV Black Star Promos,153,Lightning,100,Stage 1,,Staff Stamp,,-
Indeedee,SV Black Star Promos,154,Psychic,100,Basic,,,,-
Indeedee,SV Black Star Promos,154,Psychic,100,Basic,,Staff Stamp,,-
Wooper,SV Black Star Promos,155,Water,60,Basic,,,,-
Quagsire,SV Black Star Promos,156,Water,120,Stage 1,,,,-
Zapdos,SV Black Star Promos,157,Lightning,110,Basic,,,,-
Pachirisu,SV Black Star Promos,158,Lightning,70,Basic,,,,-
Magneton,SV Black Star Promos,159,Lightning,100,Stage 1,,,,-
Magneton,SV Black Star Promos,159,Lightning,100,Stage 1,,Pokémon Center Stamp,,-
Squawkabilly ex,SV Black Star Promos,160,Colorless,160,Basic,,,,-
Charizard ex,SV Black Star Promos,161,Fire,330,Stage 2,,,,-
Houndstone ex,SV Black Star Promos,162,Psychic,260,Stage 1,,,,-
Cinderace ex,SV Black Star Promos,163,Fire,320,Stage 2,,,,-
Lapras ex,SV Black Star Promos,164,Water,220,Basic,,,,-
Terapagos ex,SV Black Star Promos,165,Colorless,230,Basic,,,,-
Teal Mask Ogerpon ex,SV Black Star Promos,166,Grass,210,Basic,,,,-
Flareon,SV Black Star Promos,167,Fire,130,Stage 1,,,,-
Vaporeon,SV Black Star Promos,168,Water,130,Stage 1,,,,-
Jolteon,SV Black Star Promos,169,Lightning,110,Stage 1,,,,-
Leafeon,SV Black Star Promos,170,Grass,120,Stage 1,,,,-
Glaceon,SV Black Star Promos,171,Water,120,Stage 1,,,,-
Sylveon,SV Black Star Promos,172,Psychic,120,Stage 1,,,,-
Eevee,SV Black Star Promos,173,Colorless,50,Basic,,,,-
Eevee,SV Black Star Promos,173,Colorless,50,Basic,,Pokémon Center Stamp,,-
Janine's Beedrill,2001 Tropical Mega Battle Giveaway,,Grass,60,Basic,,,,-
Bugsy's Yanma,2001 Tropical Mega Battle Giveaway,,Grass,50,Basic,,,,-
Karen's Rapidash,2001 Tropical Mega Battle Giveaway,,Fire,60,Basic,,,,-
Pryce's Cloyster,2001 Tropical Mega Battle Giveaway,,Water,60,Basic,,,,-
Clair's Mantine,2001 Tropical Mega Battle Giveaway,,Water,60,Basic,,,,-
Jasmine's Raichu,2001 Tropical Mega Battle Giveaway,,Lightning,60,Basic,,,,-
Morty's Hypno,2001 Tropical Mega Battle Giveaway,,Psychic,60,Basic,,,,-
Will's Girafarig,2001 Tropical Mega Battle Giveaway,,Psychic,50,Basic,,,,-
Bruno's Hitmonchan,2001 Tropical Mega Battle Giveaway,,Fighting,60,Basic,,,,-
Chuck's Donphan,2001 Tropical Mega Battle Giveaway,,Fighting,60,Basic,,,,-
Falkner's Fearow,2001 Tropical Mega Battle Giveaway,,Colorless,60,Basic,,,,-
Whitney's Furret,2001 Tropical Mega Battle Giveaway,,Colorless,60,Basic,,,,-
Tropical Breeze,2001 Tropical Mega Battle Giveaway,,Trainer,,Trainer,,,,-
Energy Ark,2001 Tropical Mega Battle Giveaway,,Trainer,,Trainer,,,,-
Super Scoop Up,2001 Tropical Mega Battle Giveaway,,Trainer,,Trainer,,,,-
Switch,2001 Tropical Mega Battle Giveaway,,Trainer,,Trainer,,,,-
Potion,2001 Tropical Mega Battle Giveaway,,Trainer,,Trainer,,,,-
Grass Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Fire Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Water Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Lightning Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Psychic Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Fighting Energy,2001 Tropical Mega Battle Giveaway,,Energy,,Energy,,,,-
Pikachu,W Promotional Cards,60,Lightning,50,Basic,,,,-
Kabuto,W Promotional Cards,50,Fighting,30,Stage 1,,,,-
Wartortle,W Promotional Cards,42,Water,70,Stage 1,,,,-
Dark Arbok,W Promotional Cards,19,Grass,60,Stage 1,,,,-
Dark Charmeleon,W Promotional Cards,32,Fire,50,Stage 1,,,,-
Misty's Psyduck,W Promotional Cards,54,Water,50,Basic,,,,-
Brock's Vulpix,W Promotional Cards,37,Fire,50,Basic,,,,-
Mew,Southern Islands,1,Psychic,30,Basic,,,,-
Pidgeot,Southern Islands,2,Colorless,70,Stage 2,,,,-
Onix,Southern Islands,3,Fighting,90,Basic,,,,-
Togepi,Southern Islands,4,Colorless,40,Basic,,,,-
Ivysaur,Southern Islands,5,Grass,60,Stage 1,,,,-
Raticate,Southern Islands,6,Colorless,60,Stage 1,,,,-
Ledyba,Southern Islands,7,Grass,40,Basic,,,,-
Jigglypuff,Southern Islands,8,Colorless,50,Basic,,,,-
Butterfree,Southern Islands,9,Grass,80,Stage 2,,,,-
Tentacruel,Southern Islands,10,Water,60,Stage 1,,,,-
Marill,Southern Islands,11,Water,40,Basic,,,,-
Lapras,Southern Islands,12,Water,70,Basic,,,,-
Exeggutor,Southern Islands,13,Grass,70,Stage 1,,,,-
Slowking,Southern Islands,14,Psychic,70,Stage 1,,,,-
Wartortle,Southern Islands,15,Water,60,Stage 1,,,,-
Lickitung,Southern Islands,16,Colorless,70,Basic,,,,-
Vileplume,Southern Islands,17,Grass,70,Stage 2,,,,-
Primeape,Southern Islands,18,Fighting,60,Stage 1,,,,-
Electabuzz,Best of Game,1,Lightning,70,Basic,,,,-
Electabuzz,Best of Game,1,Lightning,70,Basic,,Winner Stamp,,-
Hitmonchan,Best of Game,2,Fighting,60,Basic,,,,-
Hitmonchan,Best of Game,2,Fighting,60,Basic,,Winner Stamp,,-
Professor Elm,Best of Game,3,Trainer,,Trainer,,,,-
Rocket's Scizor,Best of Game,4,Metal,60,Basic,,,,-
Rocket's Scizor,Best of Game,4,Metal,60,Basic,,Winner Stamp,,-
Rocket's Sneasel,Best of Game,5,Darkness,60,Basic,,,,-
Rocket's Sneasel,Best of Game,5,Darkness,60,Basic,,Winner Stamp,,-
Dark Ivysaur,Best of Game,6,Grass,50,Stage 1,,,,-
Dark Ivysaur,Best of Game,6,Grass,50,Stage 1,,Winner Stamp,,-
Dark Venusaur,Best of Game,7,Grass,70,Stage 2,,,,-
Dark Venusaur,Best of Game,7,Grass,70,Stage 2,,Winner Stamp,,-
Rocket's Mewtwo,Best of Game,8,Psychic,70,Basic,,,,-
Rocket's Mewtwo,Best of Game,8,Psychic,70,Basic,,Winner Stamp,,-
Rocket's Hitmonchan,Best of Game,9,Fighting,60,Basic,,,,-
Rocket's Hitmonchan,Best of Game,9,Fighting,60,Basic,,Winner Stamp,,-
Blaziken,ex Battle Stadium,3,Fire,100,Stage 2,Holo Rare,,,-
Blaziken,ex Battle Stadium,3,Fire,100,Stage 2,Rare,,,-
Gardevoir,ex Battle Stadium,7,Psychic,100,Stage 2,Holo Rare,,,-
Gardevoir,ex Battle Stadium,7,Psychic,100,Stage 2,Rare,,,-
Seaking,ex Battle Stadium,21,Water,70,Stage 1,Rare,,,-
Delcatty,ex Battle Stadium,29,Colorless,80,Stage 1,Uncommon,,,-
Hariyama,ex Battle Stadium,33,Fighting,80,Stage 1,Uncommon,,,-
Kirlia,ex Battle Stadium,34,Psychic,70,Stage 1,Uncommon,,,-
Swellow,ex Battle Stadium,46,Colorless,70,Stage 1,Uncommon,,,-
Goldeen,ex Battle Stadium,55,Water,50,Basic,Common,,,-
Makuhita,ex Battle Stadium,57,Fighting,50,Basic,Common,,,-
Numel,ex Battle Stadium,61,Fire,50,Basic,Common,,,-
Taillow,ex Battle Stadium,72,Colorless,40,Basic,Common,,,-
Torchic,ex Battle Stadium,73,Fire,40,Basic,Common,,,-
Energy Removal 2,ex Battle Stadium,80,Trainer,,Trainer,Uncommon,,,-
Lady Outing,ex Battle Stadium,83,Trainer,,Supporter,Uncommon,,,-
PokéNav,ex Battle Stadium,88,Trainer,,Trainer,Uncommon,,,-
Professor Birch,ex Battle Stadium,89,Trainer,,Supporter,Uncommon,,,-
Energy Search,ex Battle Stadium,90,Trainer,,Trainer,Common,,,-
Potion,ex Battle Stadium,91,Trainer,,Trainer,Common,,,-
Switch,ex Battle Stadium,92,Trainer,,Trainer,Common,,,-
Grass Energy,ex Battle Stadium,104,Energy,,Energy,Common,,,-
Fighting Energy,ex Battle Stadium,105,Energy,,Energy,Common,,,-
Water Energy,ex Battle Stadium,106,Energy,,Energy,Common,,,-
Psychic Energy,ex Battle Stadium,107,Energy,,Energy,Common,,,-
Fire Energy,ex Battle Stadium,108,Energy,,Energy,Common,,,-
Lightning Energy,ex Battle Stadium,109,Energy,,Energy,Common,,,-
Espeon,ex Battle Stadium,16,Psychic,80,Stage 1,Rare,,,-
Quilava,ex Battle Stadium,51,Fire,80,Stage 1,Uncommon,,,-
Xatu,ex Battle Stadium,55,Psychic,70,Stage 1,Uncommon,,,-
Dunsparce,ex Battle Stadium,60,Colorless,50,Basic,Common,,,-
Eevee,ex Battle Stadium,63,Colorless,50,Basic,Common,,,-
Natu,ex Battle Stadium,69,Psychic,50,Basic,Common,,,-
Onix,ex Battle Stadium,71,Fighting,80,Basic,Common,,,-
Ralts,ex Battle Stadium,74,Psychic,50,Basic,Common,,,-
Skitty,ex Battle Stadium,79,Colorless,50,Basic,Common,,,-
Double Full Heal,ex Battle Stadium,86,Trainer,,Trainer,Uncommon,,,-
Wally's Training,ex Battle Stadium,89,Trainer,,Supporter,Uncommon,,,-
Camerupt,ex Battle Stadium,24,Fire,80,Stage 1,Uncommon,,,-
Combusken,ex Battle Stadium,25,Fire,70,Stage 1,Uncommon,,,-
Seadra,ex Battle Stadium,39,Water,70,Stage 1,Uncommon,,,-
Horsea,ex Battle Stadium,58,Water,50,Basic,Common,,,-
Numel,ex Battle Stadium,69,Fire,40,Basic,Common,,,-
High Pressure System,ex Battle Stadium,85,Trainer,,Stadium,Uncommon,,,-
TV Reporter,ex Battle Stadium,88,Trainer,,Supporter,Uncommon,,,-
Chimchar,2008 Burger King Promo,76,Fire,50,Basic,,,,-
Grotle,2008 Burger King Promo,49,Grass,90,Stage 1,,,,-
Happiny,2008 Burger King Promo,52,Colorless,60,Basic,,,,-
Lucario,2008 Burger King Promo,6,Fighting,90,Stage 1,,,,-
Manaphy,2008 Burger King Promo,9,Water,70,Basic,,,,-
Monferno,2008 Burger King Promo,56,Fire,70,Stage 1,,,,-
Pachirisu,2008 Burger King Promo,35,Lightning,70,Basic,,,,-
Pikachu,2008 Burger King Promo,94,Lightning,60,Basic,,,,-
Piplup,2008 Burger King Promo,93,Water,60,Basic,,,,-
Prinplup,2008 Burger King Promo,58,Water,80,Stage 1,,,,-
Shinx,2008 Burger King Promo,98,Lightning,60,Basic,,,,-
Turtwig,2008 Burger King Promo,103,Grass,60,Basic,,,,-
Chimchar,2009 Burger King Promo,56,Fire,40,Basic,,,,-
Dialga,2009 Burger King Promo,16,Metal,90,Basic,,,,-
Eevee,2009 Burger King Promo,62,Colorless,60,Basic,,,,-
Giratina,2009 Burger King Promo,4,Psychic,100,Basic,,,,-
Glaceon,2009 Burger King Promo,20,Water,90,Stage 1,,,,-
Leafeon,2009 Burger King Promo,24,Grass,90,Stage 1,,,,-
Meowth,2009 Burger King Promo,106,Colorless,50,Basic,,,,-
Palkia,2009 Burger King Promo,26,Water,90,Basic,,,,-
Pichu,2009 Burger King Promo,45,Lightning,50,Basic,,,,-
Pikachu,2009 Burger King Promo,70,Lightning,60,Basic,,,,-
Piplup,2009 Burger King Promo,71,Water,60,Basic,,,,-
Turtwig,2009 Burger King Promo,77,Grass,60,Basic,,,,-
Riolu,2008 Countdown Calendar,61,Fighting,60,Basic,,,,-
Glameow,2008 Countdown Calendar,83,Colorless,50,Basic,,,,-
Skorupi,2008 Countdown Calendar,99,Psychic,60,Basic,,,,-
Stunky,2008 Countdown Calendar,102,Darkness,60,Basic,,,,-
Abomasnow,2008 Countdown Calendar,19,Grass,100,Stage 1,,,,-
Chingling,2008 Countdown Calendar,42,Psychic,40,Basic,,,,-
Gabite,2008 Countdown Calendar,48,Colorless,80,Stage 1,,,,-
Happiny,2008 Countdown Calendar,52,Colorless,60,Basic,,,,-
Bidoof,2008 Countdown Calendar,73,Colorless,60,Basic,,,,-
Bronzor,2008 Countdown Calendar,74,Metal,50,Basic,,,,-
Kricketot,2008 Countdown Calendar,86,Grass,60,Basic,,,,-
Shinx,2008 Countdown Calendar,98,Lightning,60,Basic,,,,-
Snover,2008 Countdown Calendar,101,Grass,60,Basic,,,,-
Weavile,2008 Countdown Calendar,40,Water,80,Stage 1,,,,-
Burmy Plant Cloak,2008 Countdown Calendar,78,Grass,40,Basic,,,,-
Floatzel,2008 Countdown Calendar,37,Water,80,Stage 1,,,,-
Buizel,2008 Countdown Calendar,61,Water,60,Basic,,,,-
Glaceon,2008 Countdown Calendar,20,Water,90,Stage 1,,,,-
Chimchar,2008 Countdown Calendar,57,Fire,50,Basic,,,,-
Combee,2008 Countdown Calendar,59,Grass,50,Basic,,,,-
Munchlax,2008 Countdown Calendar,68,Colorless,60,Basic,,,,-
Piplup,2008 Countdown Calendar,72,Water,50,Basic,,,,-
Turtwig,2008 Countdown Calendar,78,Grass,60,Basic,,,,-
Pikachu,2008 Countdown Calendar,DP16,Lightning,60,Basic,,,,-
Venusaur,Rumble,1,Grass,140,Stage 2,,,,-
Cherrim,Rumble,2,Grass,80,Stage 1,,,,-
Ninetales,Rumble,3,Fire,90,Stage 1,,,,-
Heatran,Rumble,4,Fire,110,Basic,,,,-
Starmie,Rumble,5,Water,80,Stage 1,,,,-
Gyarados,Rumble,6,Water,130,Stage 1,,,,-
Pikachu,Rumble,7,Lightning,60,Basic,,,,-
Zapdos,Rumble,8,Lightning,100,Basic,,,,-
Mewtwo,Rumble,9,Psychic,100,Basic,,,,-
Mew,Rumble,10,Psychic,60,Basic,,,,-
Diglett,Rumble,11,Fighting,30,Basic,,,,-
Lucario,Rumble,12,Fighting,90,Stage 1,,,,-
Skuntank,Rumble,13,Darkness,90,Stage 1,,,,-
Bastiodon,Rumble,14,Metal,120,Stage 2,,,,-
Rattata,Rumble,15,Colorless,30,Basic,,,,-
Bibarel,Rumble,16,Colorless,90,Stage 1,,,,-
Snivy,McDonald's Collection 2011,1,Grass,60,Basic,,,,-
Maractus,McDonald's Collection 2011,2,Grass,80,Basic,,,,-
Tepig,McDonald's Collection 2011,3,Fire,70,Basic,,,,-
Oshawott,McDonald's Collection 2011,4,Water,60,Basic,,,,-
Alomomola,McDonald's Collection 2011,5,Water,100,Basic,,,,-
Blitzle,McDonald's Collection 2011,6,Lightning,60,Basic,,,,-
Munna,McDonald's Collection 2011,7,Psychic,60,Basic,,,,-
Sandile,McDonald's Collection 2011,8,Fighting,70,Basic,,,,-
Zorua,McDonald's Collection 2011,9,Darkness,50,Basic,,,,-
Klink,McDonald's Collection 2011,10,Metal,50,Basic,,,,-
Pidove,McDonald's Collection 2011,11,Colorless,40,Basic,,,,-
Audino,McDonald's Collection 2011,12,Colorless,80,Basic,,,,-
Servine,McDonald's Collection 2012,1,Grass,80,Stage 1,,,,-
Pansage,McDonald's Collection 2012,2,Grass,70,Basic,,,,-
Dwebble,McDonald's Collection 2012,3,Grass,60,Basic,,,,-
Pignite,McDonald's Collection 2012,4,Fire,100,Stage 1,,,,-
Dewott,McDonald's Collection 2012,5,Water,90,Stage 1,,,,-
Emolga,McDonald's Collection 2012,6,Lightning,70,Basic,,,,-
Woobat,McDonald's Collection 2012,7,Psychic,60,Basic,,,,-
Drilbur,McDonald's Collection 2012,8,Fighting,70,Basic,,,,-
Purrloin,McDonald's Collection 2012,9,Darkness,60,Basic,,,,-
Scraggy,McDonald's Collection 2012,10,Darkness,60,Basic,,,,-
Klang,McDonald's Collection 2012,11,Metal,80,Stage 1,,,,-
Axew,McDonald's Collection 2012,12,Colorless,60,Basic,,,,-
Weedle,McDonald's Collection 2014,1,Grass,40,Basic,,,,-
Chespin,McDonald's Collection 2014,2,Grass,60,Basic,,,,-
Fennekin,McDonald's Collection 2014,3,Fire,60,Basic,,,,-
Froakie,McDonald's Collection 2014,4,Water,60,Basic,,,,-
Pikachu,McDonald's Collection 2014,5,Lightning,60,Basic,,,,-
Inkay,McDonald's Collection 2014,6,Darkness,60,Basic,,,,-
Honedge,McDonald's Collection 2014,7,Metal,60,Basic,,,,-
